epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3484.79,0.30703,0.18831,0.79022,0.98484,0.99099,0.99169,0.96654,0.29246,0.15148,0.78231,0.00307,0.00307,0.00307
107,5919.22,0.31341,0.19282,0.78941,0.9849,0.99121,0.99167,0.96657,0.29246,0.15158,0.7823,0.003004,0.003004,0.003004
108,8442.73,0.3159,0.19644,0.7909,0.98486,0.99113,0.99167,0.96666,0.29246,0.15161,0.7823,0.002938,0.002938,0.002938
109,10520.5,0.3167,0.19805,0.79029,0.9849,0.99111,0.99165,0.96662,0.29242,0.15166,0.78228,0.002872,0.002872,0.002872
110,12332.8,0.32022,0.20172,0.79184,0.98503,0.99119,0.99165,0.96671,0.29239,0.15164,0.78227,0.002806,0.002806,0.002806
111,14233.1,0.32209,0.20332,0.79103,0.98509,0.99104,0.99164,0.96667,0.29235,0.1517,0.78226,0.00274,0.00274,0.00274
112,16230.1,0.3249,0.20681,0.79253,0.98501,0.99113,0.99163,0.96661,0.29231,0.15175,0.78224,0.002674,0.002674,0.002674
113,3556.54,0.3009,0.18232,0.78931,0.98517,0.99089,0.99162,0.96665,0.29225,0.1518,0.78222,0.002608,0.002608,0.002608
114,6134.64,0.30775,0.18615,0.78859,0.98455,0.99132,0.9916,0.9666,0.29224,0.15188,0.78222,0.002542,0.002542,0.002542
115,8699.41,0.31067,0.19006,0.79019,0.98468,0.99126,0.99158,0.9665,0.29224,0.15195,0.78221,0.002476,0.002476,0.002476
116,10781.6,0.31228,0.19215,0.78964,0.98503,0.99078,0.99156,0.96647,0.2922,0.15202,0.7822,0.00241,0.00241,0.00241
117,12589.3,0.31508,0.19535,0.79108,0.98497,0.99079,0.99155,0.96648,0.29218,0.15208,0.78219,0.002344,0.002344,0.002344
118,3541.37,0.29676,0.17814,0.78878,0.98486,0.99108,0.99154,0.9665,0.29218,0.1522,0.78218,0.002278,0.002278,0.002278
119,6129.67,0.30366,0.18143,0.78801,0.98478,0.991,0.99152,0.96645,0.29219,0.15237,0.78219,0.002212,0.002212,0.002212
120,8686.43,0.30626,0.1854,0.78953,0.98566,0.98976,0.9915,0.96647,0.29219,0.15248,0.78219,0.002146,0.002146,0.002146
121,10826.8,0.3085,0.18755,0.78906,0.98579,0.98966,0.99148,0.96647,0.29216,0.15259,0.78218,0.00208,0.00208,0.00208
122,12656.3,0.31046,0.18994,0.79041,0.98557,0.98992,0.99148,0.96651,0.29213,0.15264,0.78217,0.002014,0.002014,0.002014
123,14747.9,0.31327,0.19272,0.78961,0.98569,0.98985,0.99148,0.96654,0.29212,0.15271,0.78217,0.001948,0.001948,0.001948
124,16772.2,0.31664,0.19635,0.79131,0.98575,0.98966,0.99147,0.96652,0.29208,0.15272,0.78216,0.001882,0.001882,0.001882
125,18987.1,0.31881,0.20163,0.79106,0.98568,0.98971,0.99146,0.96646,0.29206,0.15266,0.78216,0.001816,0.001816,0.001816
126,3751.37,0.29044,0.17248,0.78791,0.98555,0.98987,0.99145,0.96647,0.29203,0.15278,0.78215,0.00175,0.00175,0.00175
127,6234.49,0.29741,0.17508,0.78718,0.98619,0.9894,0.99144,0.96647,0.29203,0.15292,0.78215,0.001684,0.001684,0.001684
128,8694.33,0.30018,0.17845,0.78858,0.98558,0.98995,0.99143,0.96648,0.29203,0.15304,0.78215,0.001618,0.001618,0.001618
129,10875.6,0.30234,0.18107,0.78807,0.98563,0.98988,0.99141,0.96658,0.29201,0.15318,0.78214,0.001552,0.001552,0.001552
130,12886.4,0.30523,0.18399,0.78963,0.98543,0.99062,0.99141,0.96661,0.29199,0.15321,0.78213,0.001486,0.001486,0.001486
131,14885.7,0.30742,0.18558,0.7888,0.98583,0.98966,0.9914,0.96662,0.29197,0.15331,0.78211,0.00142,0.00142,0.00142
132,16872,0.31095,0.18952,0.79039,0.9857,0.98978,0.9914,0.96657,0.29194,0.15337,0.7821,0.001354,0.001354,0.001354
133,18803.6,0.31244,0.19428,0.79013,0.98597,0.98952,0.9914,0.96663,0.29193,0.15335,0.78208,0.001288,0.001288,0.001288
134,20961.6,0.31524,0.19688,0.79189,0.98607,0.98943,0.9914,0.96667,0.29191,0.15333,0.78207,0.001222,0.001222,0.001222
135,23097.1,0.31435,0.19665,0.79092,0.98558,0.99022,0.99138,0.96666,0.29186,0.1533,0.78206,0.001156,0.001156,0.001156
136,25168.4,0.31555,0.19619,0.79173,0.98574,0.99013,0.9914,0.9667,0.29181,0.15319,0.78204,0.00109,0.00109,0.00109
137,27332.1,0.31518,0.19794,0.79113,0.98644,0.98938,0.99141,0.96673,0.29174,0.1531,0.78202,0.001024,0.001024,0.001024
138,29582.3,0.31493,0.19821,0.79159,0.98664,0.98928,0.99143,0.96679,0.29168,0.15294,0.782,0.000958,0.000958,0.000958
139,31704.1,0.31804,0.20035,0.79122,0.98674,0.98929,0.99144,0.96688,0.29162,0.15281,0.78199,0.000892,0.000892,0.000892
140,33728.4,0.31589,0.19848,0.79165,0.98671,0.98938,0.99146,0.9669,0.29154,0.15267,0.78197,0.000826,0.000826,0.000826
141,35691.3,0.30178,0.1631,0.78797,0.98665,0.98943,0.99147,0.96694,0.29144,0.15256,0.78196,0.00076,0.00076,0.00076
142,1944.67,0.30307,0.1634,0.78761,0.98664,0.98944,0.99148,0.96698,0.29142,0.15256,0.78196,0.000694,0.000694,0.000694
143,3782.98,0.30088,0.16168,0.78649,0.98642,0.98948,0.99149,0.96704,0.29135,0.15249,0.78194,0.000628,0.000628,0.000628
144,5378.29,0.2998,0.15946,0.787,0.98638,0.98956,0.9915,0.96703,0.29126,0.15243,0.78192,0.000562,0.000562,0.000562
145,6816.48,0.29895,0.15996,0.78585,0.98612,0.98999,0.99151,0.96708,0.29117,0.15237,0.78189,0.000496,0.000496,0.000496
146,8108.09,0.29723,0.15721,0.78661,0.98611,0.9901,0.99151,0.96708,0.29107,0.15226,0.78187,0.00043,0.00043,0.00043
147,9352.26,0.29577,0.15576,0.78571,0.986,0.99015,0.99152,0.9671,0.29099,0.15214,0.78185,0.000364,0.000364,0.000364
148,10580.4,0.29482,0.15575,0.78407,0.98628,0.98989,0.99152,0.96708,0.2909,0.15206,0.78183,0.000298,0.000298,0.000298
149,11767.3,0.2946,0.15442,0.78667,0.98697,0.98928,0.99152,0.96712,0.29082,0.152,0.78181,0.000232,0.000232,0.000232
150,12966,0.29315,0.15389,0.78646,0.98692,0.98939,0.99154,0.96714,0.29073,0.1519,0.78179,0.000166,0.000166,0.000166
